INVHED_TXNDATE,orders,sale
8/25/2025,2332,4883121.35
8/26/2025,2250,4551346.94
8/27/2025,2173,4492268.32
8/28/2025,2191,4232223.17
8/29/2025,2283,4672401.81
8/30/2025,2534,5270963.3
8/31/2025,2850,6517050.71
9/1/2025,2382,5289487.98
9/2/2025,2313,5039504.89
9/3/2025,2469,5248715.73
9/4/2025,2353,4893433.9
9/5/2025,2650,5550542.53
9/6/2025,2528,5198178.79
9/7/2025,2887,6109568.93
9/8/2025,2519,5302302.49
9/9/2025,2244,4762149.9
9/10/2025,2333,6921781.45
9/11/2025,2301,4758286.38
9/12/2025,2297,4721239.29
9/13/2025,2694,5710617.57
9/14/2025,2901,6259735.18
9/15/2025,2543,5362794.27
9/16/2025,2455,5164982.47
9/17/2025,2458,5127335.66
9/18/2025,2482,5353782.87
9/19/2025,2407,5154757.19
9/20/2025,2770,6022148.5
9/21/2025,2927,6340332.33
9/22/2025,2456,5266908.57
9/23/2025,2529,5114263.08
9/24/2025,2556,5110245.27
9/25/2025,2150,4696154.34
9/26/2025,2473,5334002.19
9/27/2025,2786,6177721.3
9/28/2025,2990,6478529.09
